date,location,total_cases,total_deaths,new_cases,new_deaths,total_vaccinations
2020-09-10,Canada,5130397,25938,6707,186,92120569
2020-04-12,Italy,3451356,59164,215,909,11326949
2021-04-17,India,9520173,447746,7605,715,29505636
2022-09-03,India,3444084,199271,9915,430,47988842
2020-10-24,UK,2927109,60282,9784,553,56091480
2020-02-21,Japan,6979451,309945,2606,861,21547944
2020-01-15,India,8519981,402681,8350,415,34763042
2020-10-02,Canada,7778484,265470,4781,799,27759964
2021-07-02,Russia,8503902,396875,3313,425,40268392
2020-05-18,Russia,6214624,453505,9968,415,83121884
2022-07-13,Japan,4842611,158666,7763,25,11680331
2020-06-18,France,6357182,115819,5939,370,29295842
2021-04-06,Russia,4335868,266907,2295,384,81975891
2022-10-23,Japan,9814996,481873,5685,55,91632592
2022-07-07,Canada,2215167,141900,1696,252,20961268
2022-04-27,Germany,3886402,309732,1946,633,6037240
2020-11-10,Brazil,6545535,273365,2783,105,83527422
2022-03-15,Italy,6842385,404427,3644,129,51708771
2020-06-03,Brazil,9078552,13569,5241,848,97352649
2020-05-16,Russia,688105,227966,6420,669,78629585
2022-07-10,UK,1989173,37860,7557,375,46444701
2021-10-14,Japan,3080761,202630,2645,742,37847367
2022-09-17,India,1414466,307481,6589,966,4722408
2022-06-12,India,445101,445527,6353,307,45973362
2022-09-26,Canada,8106609,144587,1932,90,58625100
2020-07-12,Japan,7413023,71695,1757,392,84196062
2022-06-26,Germany,7613269,253078,5085,533,85187192
2020-09-06,Germany,1105534,242599,5637,801,40105413
2020-05-26,Germany,9972201,368893,1116,109,89795893
2020-11-21,Japan,9613273,480443,492,560,23808507
2022-07-15,Russia,4353127,155976,8811,640,7405396
2020-04-13,Brazil,7315360,191007,7888,584,61223781
2021-03-17,India,8073461,305934,6474,339,88876138
2022-03-27,USA,498863,330724,9738,564,74713522
2021-08-04,France,8756262,468364,4958,978,64785435
2022-08-25,India,2676188,5636,9797,355,37481151
2021-08-20,Germany,3295990,261578,9467,891,82554104
2022-08-15,Italy,7782937,339273,2743,167,38106836
2022-07-13,Japan,6526818,396108,7866,556,68365783
2022-03-19,Canada,9881393,283816,7160,451,93836954
2022-02-23,UK,9185687,267956,5451,904,75314714
2021-08-29,Canada,5491590,227693,5258,104,65183537
2022-06-02,India,6512440,654,8548,149,88846748
2022-04-10,USA,6099628,54633,7186,145,94618168
2022-04-16,Brazil,6555968,17143,6102,715,14714486
2021-10-28,Canada,2699015,55934,9061,873,25133019
2021-10-25,India,9674733,329478,9077,298,40447140
2021-09-10,USA,8837590,103463,9475,166,24173532
2020-12-14,Japan,1172622,125851,619,712,21624383
2021-06-20,India,2503771,29087,882,645,62401583
2022-09-14,Italy,3177825,142690,8988,722,62781923
2021-05-31,Canada,996161,270590,3642,47,95931549
2022-09-11,Germany,4183839,480398,1296,637,28516502
2021-11-19,Germany,666326,364271,8436,238,10823904
2020-07-19,Russia,649150,311011,2895,6,47052035
2021-02-25,Brazil,3375957,444244,6593,463,59948418
2021-01-09,Brazil,118834,322245,929,452,16787516
2022-12-20,France,3239576,158272,5366,783,79232863
2020-11-24,Germany,5893309,226179,8711,896,61638403
2021-01-21,Italy,5948540,350218,3212,370,43433792
2020-05-28,France,4249913,499307,2409,548,25811339
2020-08-25,Japan,4422201,192537,8199,486,97596812
2022-10-20,India,1079600,217508,3423,210,42333345
2020-09-16,UK,9414323,118422,6976,164,10348923
2020-03-13,USA,9827141,350036,7594,124,20947292
2020-01-12,France,3503157,219631,5158,336,62930888
2021-03-14,USA,8272874,382188,3667,191,419870
2021-07-08,Italy,8849851,39148,5973,729,88741958
2022-03-12,USA,1985588,345072,6236,213,13565365
2020-10-02,Brazil,8640059,151770,8277,573,86939649
2021-10-19,Canada,4197355,435686,2468,327,39742368
2022-12-26,Russia,1752683,485287,6217,956,13404721
2020-05-03,Germany,7716868,313804,3619,380,14836870
2021-04-29,Canada,1004646,447126,1636,672,20465842
2020-10-16,USA,9360133,297594,8155,577,95346951
2020-01-28,Italy,3867500,187535,3583,797,8548555
2020-02-24,France,449395,295901,4009,238,59267770
2020-11-25,Italy,5143901,78012,3326,531,39987258
2020-08-14,Russia,6754350,368894,8148,699,68455432
2020-12-12,Brazil,1260386,389187,2217,81,80315355
2020-07-15,Brazil,3054390,463463,4967,362,20309315
2020-04-21,Russia,7019431,465231,2369,504,17627302
2021-12-11,USA,3379569,424606,3638,201,64767312
2020-01-25,UK,2900603,56116,9135,919,67787658
2020-04-10,Italy,8611474,144233,5722,503,79686422
2022-04-04,Germany,9523856,32152,4444,643,22079729
2022-01-26,Germany,1646711,473387,7618,36,80264981
2020-09-08,Japan,5587774,106379,3947,643,84752316
2022-08-22,Italy,6319707,226905,1676,588,45790873
2020-03-29,Japan,7967801,20836,1196,600,68143880
2022-05-16,India,1423286,221439,2787,972,2811114
2021-05-13,USA,3695961,459759,7432,401,9314502
2021-06-02,Brazil,8217316,186720,9653,764,87417888
2021-02-18,Canada,3177945,157403,7927,855,80972183
2020-08-15,Italy,7348340,499208,3318,705,76125272
2021-04-26,Italy,183062,141835,8858,175,84581982
2022-12-29,Canada,2841992,331588,6689,544,8304860
2020-12-15,USA,4294539,93109,2176,569,13679684
2022-09-14,Brazil,6095929,150259,3743,466,74255653
2020-05-11,Canada,4944505,143029,8792,200,70673644
2022-11-15,USA,803328,397595,4422,539,28274570
2020-03-13,Japan,4062958,421175,3824,546,9049919
2022-04-07,Brazil,1043233,82018,9171,998,3423047
2021-12-15,Brazil,6468703,123076,2451,636,61221651
2021-03-31,Japan,529525,158177,628,393,53585185
2022-05-30,Canada,176615,394093,9821,832,69032489
2021-12-18,Brazil,4381932,179425,7778,41,76164999
2020-04-27,USA,6665088,345932,3696,596,69333326
2022-09-07,Russia,7474447,359014,3674,392,34931708
2020-07-11,Germany,4601020,215657,3929,699,53423685
2020-05-15,Brazil,3699391,345452,2765,622,17665796
2020-03-26,Italy,8929860,444783,4369,782,98274805
2021-09-28,UK,7006454,320057,8307,994,4204789
2020-02-02,Japan,3612610,2637,4956,440,1414466
2020-02-27,Canada,7031883,465994,692,836,65642255
2022-11-17,Italy,2164367,304169,3162,616,61350498
2021-12-18,UK,144356,237989,1105,505,17596962
2022-05-19,France,8744220,232259,3008,917,10215762
2020-01-30,France,8398043,361652,2161,319,50089069
2021-02-22,France,1748014,82464,8345,552,90270689
2021-02-02,Japan,7156720,290886,3699,214,3121958
2022-11-08,UK,2288627,11831,3786,70,56452105
2021-08-10,UK,6517963,113768,9256,567,64793801
2022-12-26,USA,6597519,246983,4200,918,51859347
2020-02-19,USA,764121,347236,1913,235,60603648
2022-08-25,USA,7068121,353023,9408,280,47369477
2021-12-06,USA,9558356,350514,5520,986,29292026
2021-06-23,Brazil,3502630,388681,1772,616,82295873
2020-11-13,Russia,5698848,439978,2780,901,55612197
2020-12-16,Russia,1107677,104824,7423,886,89009730
2021-09-29,Russia,5738852,492174,2871,161,66688588
2022-12-09,Italy,288790,88741,660,190,35784738
2020-01-04,Russia,5084921,18830,6242,8,23717838
2022-10-17,Germany,9797444,317188,1132,59,62837292
2021-02-20,UK,3693305,336092,699,892,69363349
2020-10-13,Brazil,4466271,69202,7470,816,16470506
2022-07-19,Brazil,4385536,299189,6297,224,28321347
2021-03-20,USA,1352695,217394,7812,818,38056189
2020-04-16,UK,1589228,202123,4557,699,66777104
2021-07-26,India,1100567,369653,2179,581,95125764
2022-10-09,USA,7706358,157699,9065,804,56643284
2021-09-24,France,49115,277342,8275,286,33486648
2022-07-21,France,721747,331665,1422,993,43775399
2022-02-15,Canada,5392023,106471,3180,168,94798324
2020-02-04,Germany,5957515,291619,4316,61,13871389
2022-03-22,Brazil,6232753,236824,6696,348,82993065
2021-03-02,France,5246880,19403,9583,441,53075440
2020-11-28,Italy,1404330,3681,614,13,86347643
2022-12-18,UK,251492,353699,4570,163,60478662
2021-11-15,Canada,4035851,381028,270,419,97857114
2021-02-11,Russia,491072,355266,2468,756,21082071
2021-08-16,Germany,1086880,115260,9582,846,87112616
2020-09-29,USA,2055723,173364,3607,519,47831031
2022-03-22,Canada,2248988,496273,3075,665,120469
2020-03-18,USA,9702701,105386,289,547,1771571
2020-02-07,Brazil,2976242,233378,8120,559,62200050
2020-08-24,Canada,4580081,398845,6614,596,38081754
2021-03-04,Russia,2648790,93246,3252,27,57745516
2021-04-26,Germany,3763024,95864,7415,707,97709406
2022-08-11,Canada,4833177,208886,6771,445,14442561
2020-06-24,Germany,8272841,270561,278,207,17484809
2021-11-12,USA,3353597,381032,580,469,57217225
2022-02-01,Germany,8454561,165837,4958,715,36951833
2021-02-21,USA,2597480,336643,8445,975,63327108
2020-10-11,Italy,4197571,393052,4276,818,45064405
2021-12-21,Germany,6374201,245160,7997,103,87414851
2021-06-01,Canada,6118900,187646,4776,741,26327798
2022-11-13,Canada,2922097,496044,824,425,73808737
2020-05-15,Germany,157164,483761,3832,100,84324678
2020-11-07,India,531831,259278,8891,540,45659185
2021-05-12,India,2989475,289819,5445,638,65831952
2020-10-13,Canada,3369720,256681,1380,849,51982858
2021-04-18,USA,4711075,494927,9865,521,66641201
2020-02-25,Brazil,7122313,465483,6534,105,46121947
2020-12-29,USA,6854500,171635,3156,678,61363179
2022-11-14,Brazil,2640328,11332,4307,977,65929719
2020-12-31,Italy,9079703,254817,5634,768,85791968
2022-03-08,Brazil,9222335,281321,8575,806,37003220
2022-09-15,France,7326434,392704,5810,276,31897419
2020-01-19,Italy,9551536,220326,8533,64,43964282
2022-07-05,Italy,5063778,199519,5934,782,17251161
2022-12-30,France,3970001,261849,3109,899,69855772
2021-02-15,USA,70640,319248,4082,187,79103333
2020-04-07,Italy,4122263,346479,3240,316,21240676
2021-05-04,India,4594877,377082,6028,915,26229613
2022-04-14,Brazil,1355531,80730,1849,137,15874924
2020-09-26,Canada,675510,398167,8497,342,87127468
2020-05-30,Germany,3741196,237474,2749,104,53275420
2020-03-10,Japan,6990102,290477,6680,545,29930992
2020-11-18,France,2734296,283817,9327,379,78916055
2021-10-26,Canada,6706024,376565,205,109,53726862
2021-07-09,Canada,898320,40870,7352,943,18332485
2022-11-06,USA,5781565,253017,4591,544,51103583
2022-05-29,Russia,2007635,127536,3450,353,66856235
2021-11-02,Russia,9615215,333245,7214,742,97668833
2020-12-10,Germany,3264908,284965,3811,316,45067939
2021-03-14,India,4260538,25494,5141,265,5441619
2020-02-07,Italy,6486460,99477,8501,693,97126776
2020-10-22,France,6197323,388227,2708,851,6860088
2022-06-02,Russia,3621581,205232,1991,64,3991755
2020-01-16,Japan,4246238,374842,8463,332,76993890
2020-11-05,Germany,5963135,373704,3273,512,86254576
2020-07-01,UK,8814131,394051,4538,132,9571472
2022-08-09,Russia,3599865,280790,8712,591,57586202
2022-02-06,France,5382287,123777,9168,782,96571966
2022-02-13,Russia,7990340,77360,3722,752,71722762
2020-09-20,Canada,1039458,299479,3551,539,77695551
2022-07-21,Japan,3772811,331495,2832,734,40795126
2021-06-17,France,2317336,377078,5679,534,88421414
2022-10-04,Germany,2763642,133501,6579,495,66699393
2021-12-23,UK,7689684,304094,152,620,39467122
2021-11-25,Canada,3788340,60654,5754,618,73795009
2021-11-17,Italy,197775,369566,2800,656,54813621
2022-06-09,UK,2386488,372078,5310,368,3567516
2022-06-09,India,787494,119975,9944,865,82617388
2022-08-21,Brazil,5851244,199215,2610,908,63606999
2020-05-18,Canada,5332660,353330,1104,909,75617258
2020-07-11,USA,9589801,366378,7361,650,22153114
2021-07-10,UK,6837433,491105,4199,795,45867624
2022-04-19,Italy,5083769,102326,3854,809,4679501
2020-04-16,France,533636,77527,7263,991,82952492
2021-01-24,Italy,4232406,348848,1914,98,69039274
2022-12-01,Japan,2276360,424315,7365,316,81178219
2020-02-05,USA,4408249,432601,3072,122,71864725
2021-08-02,India,4426219,166991,9198,319,70724962
2020-11-14,Canada,8914438,96952,406,798,75798298
2021-11-17,India,1332397,322926,166,592,26859047
2020-05-20,France,7517836,333260,508,494,59924505
2021-06-04,USA,9106824,465806,1661,456,95461548
2020-02-23,France,6646705,351770,3664,521,87168684
2021-08-23,USA,5462810,433603,3489,519,96721689
2021-04-28,India,8905921,146895,680,916,2706501
2020-05-21,Italy,6903836,46015,2524,716,11841541
